"","posicion","capas","arq","R2","t"
"1","1","9","1, 9, 5, 10, 8, 9, 4, 7, 7","0.136337282494549","69.478"
"2","2","2","7, 1","0.0105099444020109","34.775"
"3","3","10","4, 5, 8, 9, 7, 5, 7, 3, 6, 10","0.0123930940208968","70.65"
"4","4","8","5, 9, 8, 8, 5, 9, 5, 9","0.0113899316946665","66.472"
"5","5","2","6, 4","0.00797144058276755","35.882"
"6","6","7","3, 9, 7, 4, 7, 8, 4","0.0108908057945617","59.468"
"7","7","4","1, 5, 6, 5","0.135979960016453","42.785"
"8","8","10","5, 5, 5, 9, 9, 5, 10, 4, 4, 7","0.0064186399235282","72.875"
"9","9","6","8, 1, 7, 4, 5, 6","0.00656153822391903","52.695"
"10","10","6","9, 5, 4, 10, 7, 7","0.0129905767811932","54.621"
"11","11","4","2, 8, 7, 4","0.0135740096564724","43.501"
"12","12","7","6, 5, 10, 9, 8, 8, 5","0.00789943729214937","63.92"
"13","13","5","1, 9, 7, 9, 4","0.13559853789899","50.657"
"14","14","2","9, 5","0.00896309690293251","37.203"
"15","15","3","1, 10, 8","0.139961137341061","41.372"
"16","16","10","4, 7, 8, 6, 9, 10, 5, 6, 5, 7","0.00918884441400702","72.51"
"17","17","9","4, 8, 9, 6, 7, 10, 5, 6, 7","0.00790712381315173","69.6"
"18","18","6","5, 8, 10, 7, 7, 4","0.00855250555837705","59.038"
"19","19","7","3, 5, 10, 5, 7, 6, 1","0.00655170698758445","56.252"
"20","20","9","6, 10, 5, 8, 7, 8, 9, 4, 4","0.00596521484532098","70.554"
"21","21","3","8, 8, 7","0.00672606349969218","42.027"
"22","22","4","5, 4, 2, 3","0.00996892474362654","40.374"
"23","23","2","1, 3","0.142710620725896","33.471"
"24","24","4","4, 6, 1, 8","0.010526439137606","42.618"
"25","25","2","6, 6","0.00918859851809772","36.864"
"26","26","1","8","0.00975383317041312","33.324"
"27","27","2","5, 9","0.00680056781891425","36.892"
"28","28","3","1, 4, 9","0.142320171135444","38.822"
"29","29","10","3, 1, 10, 5, 6, 5, 4, 10, 6, 8","1.00052837117856","68.406"
"30","30","2","5, 9","0.00960122239294214","38.418"
"31","31","8","5, 10, 9, 8, 10, 9, 4, 5","0.00864987233629577","67.095"
"32","32","2","9, 6","0.00765295603425109","38.778"
"33","33","2","1, 5","0.142341913678461","34.018"
"34","34","2","8, 4","0.00828397783018975","36.107"
"35","35","5","5, 10, 10, 10, 2","0.00623655934631129","52.272"
"36","36","3","2, 6, 5","0.017491735588732","37.594"
"37","37","9","2, 9, 5, 3, 4, 4, 6, 3, 4","0.0263781954029804","59.004"
"38","38","8","4, 8, 10, 7, 10, 4, 10, 7","0.00647685879905224","65.787"
"39","39","2","6, 4","0.00801462920049834","35.39"
"40","40","3","4, 10, 4","0.00888909447022157","40.019"
"41","41","4","5, 9, 4, 8","0.00781345743775252","44.457"
"42","42","7","3, 5, 7, 6, 9, 10, 6","0.0114327632538203","61.869"
"43","43","1","8","0.00880505633962514","33.504"
"44","44","1","5","0.0107603175851956","32.183"
"45","45","2","1, 4","0.143966424770239","33.748"
"46","46","6","8, 7, 3, 10, 10, 7","0.00864969124570047","58.299"
"47","47","2","3, 7","0.00965298714213925","36.165"
"48","48","3","5, 10, 3","0.00819973141763275","41.04"
"49","49","8","2, 7, 4, 10, 5, 7, 2, 3","0.0222051741670869","57.835"
"50","50","1","2","0.0261087978502796","31.395"
"51","51","8","8, 9, 8, 10, 3, 7, 6, 4","0.00974168784991325","62.803"
"52","52","3","6, 6, 7","0.0075836142674599","40.27"
"53","53","2","8, 7","0.00971132134377739","37.654"
"54","54","9","3, 5, 4, 10, 10, 7, 4, 10, 10","0.0156321906114397","70.484"
"55","55","3","2, 6, 4","0.0264049515552892","37.845"
"56","56","7","3, 4, 3, 8, 10, 5, 2","0.0182699762775099","56.361"
"57","57","2","3, 3","0.0106771924132447","34.481"
"58","58","7","3, 3, 10, 7, 7, 6, 10","0.00982331767931244","58.073"
"59","59","1","2","0.0264388992698428","31.07"
"60","60","4","8, 6, 5, 3","0.00746888709634164","43.608"
"61","61","6","6, 5, 7, 4, 9, 1","0.00404534647922061","50.035"
"62","62","1","8","0.0100642530089614","33.106"
"63","63","5","5, 5, 4, 4, 1","0.00668511162595542","44.561"
"64","64","2","9, 7","0.00701884144119469","38.105"
"65","65","4","3, 8, 7, 9","0.00679727073569447","46.09"
"66","66","3","1, 3, 9","0.143969865373686","38.277"
"67","67","4","1, 9, 6, 10","0.14167370861639","44.845"
"68","68","3","6, 9, 10","0.0082622057371422","42.914"
"69","69","2","3, 7","0.0125040520616788","36.327"
"70","70","2","4, 9","0.00942818059664441","36.862"
"71","71","2","2, 8","0.0275502812348021","35.395"
"72","72","9","5, 9, 6, 5, 8, 8, 4, 3, 7","0.0104438472494954","66.754"
"73","73","2","5, 7","0.00967896162552528","36.457"
"74","74","9","8, 4, 8, 4, 10, 8, 10, 4, 2","0.00819560986923207","65.964"
"75","75","1","5","0.0098126036013223","32.092"
"76","76","7","6, 9, 7, 5, 9, 6, 9","0.00701301519971631","60.207"
"77","77","7","3, 4, 3, 5, 5, 4, 9","0.0115495085463427","52.046"
"78","78","7","2, 10, 9, 4, 6, 3, 4","0.0120794936371722","54.017"
"79","79","5","2, 7, 9, 3, 6","0.0130292775699203","46.12"
"80","80","7","2, 3, 2, 10, 5, 8, 10","1.00012935858587","55.818"
"81","81","1","7","0.00957455310891375","32.491"
"82","82","9","1, 9, 8, 9, 6, 3, 5, 2, 7","1.00050981774507","61.175"
"83","83","4","8, 8, 8, 4","0.00712774156168616","45.745"
"84","84","8","9, 4, 6, 4, 10, 10, 10, 5","0.00756158013931074","67.325"
"85","85","8","3, 9, 8, 5, 9, 6, 4, 2","0.0119455796377775","59.582"
"86","86","3","3, 9, 1","0.00943222742614991","38.454"
"87","87","8","9, 6, 10, 4, 8, 3, 10, 8","0.00874077774741","66.294"
"88","88","2","2, 7","0.026268506932953","35.066"
"89","89","3","6, 10, 4","0.00860221634391556","40.757"
"90","90","1","5","0.00975634659342484","32.746"
"91","91","5","1, 8, 10, 3, 5","0.137952370177612","46.378"
"92","92","3","2, 6, 9","0.0277445945803501","40.395"
"93","93","3","1, 8, 9","0.135739672840937","40.995"
"94","94","7","1, 10, 10, 10, 10, 4, 7","0.13655466526939","63.555"
"95","95","7","5, 6, 9, 6, 10, 3, 4","0.00686008123150805","56.772"
"96","96","1","9","0.0119544826086054","34.021"
"97","97","8","8, 7, 5, 7, 9, 10, 2, 6","0.00601697964957459","64.096"
"98","98","4","7, 3, 10, 1","0.00794025196941617","42.378"
"99","99","3","1, 4, 8","0.143465259448039","38.41"
"100","100","4","4, 10, 3, 10","0.0101016430878166","45.886"
"101","101","8","2, 2, 5, 4, 3, 8, 7, 6","0.0256838500119483","58.557"
"102","102","4","6, 10, 3, 7","0.00984254941558471","46.051"
"103","103","7","9, 3, 6, 7, 7, 1, 2","0.00526677138395082","52.732"
"104","104","5","4, 6, 8, 5, 3","0.012576328778231","45.784"
"105","105","7","1, 4, 1, 6, 2, 10, 9","0.138749005240393","53.824"
"106","106","2","3, 4","0.0103903364691661","34.704"
"107","107","10","1, 5, 7, 4, 3, 7, 7, 4, 6, 1","1.00054567424425","62.903"
"108","108","9","1, 6, 5, 8, 10, 7, 10, 4, 3","0.140058336955169","66.319"
"109","109","8","1, 7, 10, 7, 10, 1, 2, 9","1.00022490558672","63.697"
"110","110","3","1, 6, 7","0.143434223802122","38.596"
"111","111","7","2, 5, 10, 6, 7, 6, 8","0.00876270459629647","58.997"
"112","112","4","1, 2, 7, 6","0.142937903666557","41.103"
"113","113","6","1, 2, 5, 6, 3, 7","0.137315201001044","46.88"
"114","114","5","8, 7, 3, 8, 10","0.00956980575095556","50.259"
"115","115","6","6, 6, 8, 8, 10, 5","0.0106632008248332","54.361"
"116","116","6","7, 8, 7, 9, 1, 6","0.00756371423484714","56.138"
"117","117","3","8, 10, 7","0.00656178192421975","44.117"
"118","118","1","8","0.0105265288116574","33.746"
"119","119","6","6, 9, 2, 8, 5, 4","0.00812223723805228","52.591"
"120","120","3","1, 7, 7","0.142331932037212","39.08"
"121","121","2","2, 1","0.026220222492331","33.856"
"122","122","7","3, 4, 3, 6, 8, 6, 6","0.0117298769557815","54.247"
"123","123","8","9, 5, 8, 8, 6, 3, 4, 10","0.00753046521035639","65.351"
"124","124","4","7, 7, 7, 6","0.00719710539356","45.361"
"125","125","10","8, 7, 10, 5, 7, 10, 4, 3, 3, 6","0.00700535962694093","70.032"
"126","126","5","3, 5, 10, 9, 4","0.0111930179770158","48.594"
"127","127","6","2, 6, 3, 4, 10, 10","0.0204762907363586","53.855"
"128","128","1","7","0.0089884914088334","32.549"
"129","129","9","5, 9, 6, 5, 5, 5, 10, 10, 2","1.00025047228715","66.253"
"130","130","9","4, 6, 5, 3, 5, 9, 7, 5, 10","0.00466935661168211","67.449"
"131","131","1","6","0.00940280068628485","32.155"
"132","132","6","2, 4, 7, 10, 4, 4","0.0195873144534253","49.838"
"133","133","10","5, 6, 7, 4, 10, 9, 4, 6, 8, 8","0.999887418846687","71.202"
"134","134","4","2, 3, 8, 7","0.0270779155301726","42.845"
"135","135","3","7, 7, 2","0.00685106805463664","40.044"
"136","136","2","9, 10","0.00865005637357541","41.713"
"137","137","9","3, 5, 7, 7, 9, 2, 3, 4, 7","0.0141828458169163","64.636"
"138","138","3","5, 5, 5","0.00849591294930785","39.433"
"139","139","3","8, 3, 9","0.00984676808942253","40.459"
"140","140","1","5","0.0107423090706327","32.487"
"141","141","10","3, 7, 6, 6, 6, 9, 4, 8, 7, 5","0.376479382897051","70.493"
"142","142","5","4, 10, 7, 6, 3","0.0084701318119168","52.061"
"143","143","6","4, 6, 6, 2, 6, 7","0.0126876516402503","50.837"
"144","144","8","4, 10, 5, 6, 10, 9, 10, 7","0.0085130697045932","66.829"
"145","145","6","2, 5, 8, 9, 1, 3","1.00057760968174","49.587"
"146","146","3","6, 8, 10","0.00667923406520288","43.542"
"147","147","3","7, 10, 8","0.01069290080829","44.002"
"148","148","10","7, 6, 10, 7, 10, 6, 6, 9, 9, 4","0.00530761234779331","78.731"
"149","149","4","2, 6, 1, 8","0.013808718627068","41.821"
"150","150","8","3, 5, 2, 4, 7, 10, 3, 5","0.0105402377076024","59.083"
"151","151","8","9, 6, 9, 5, 10, 9, 5, 6","0.00628861526644231","68.194"
"152","152","3","3, 8, 8","0.0116187374211735","41.196"
"153","153","1","6","0.00838250891089232","32.497"
"154","154","7","5, 6, 8, 6, 7, 5, 7","0.00985685792806035","58.533"
"155","155","7","1, 4, 2, 9, 7, 4, 6","0.136726219421769","53.2"
"156","156","9","2, 6, 7, 8, 8, 3, 5, 4, 3","0.0244229318193967","63.049"
"157","157","9","5, 10, 6, 8, 5, 5, 4, 7, 1","0.00777417264919167","62.702"
"158","158","9","6, 3, 3, 3, 9, 6, 6, 4, 6","0.00703233205492104","64.272"
"159","159","8","4, 8, 6, 7, 6, 6, 5, 4","0.00997040878272726","60.588"
"160","160","2","8, 5","0.00783331791790509","37.275"
"161","161","5","2, 9, 10, 7, 7","0.013075474044739","51.015"
"162","162","9","6, 10, 10, 8, 5, 10, 6, 9, 5","0.00661262685075081","72.804"
"163","163","4","3, 9, 9, 4","0.0105208700753664","44.725"
"164","164","3","1, 10, 7","0.144445331123811","41.626"
"165","165","2","8, 7","0.00955943786518931","37.686"
"166","166","1","2","0.0262442961318614","32.039"
"167","167","9","4, 10, 8, 8, 2, 10, 5, 10, 7","0.00810112196694823","73.54"
"168","168","3","9, 10, 5","0.0116590532553649","43.903"
"169","169","7","6, 6, 6, 6, 9, 5, 5","0.00863341651126759","58.251"
"170","170","1","9","0.00929906603154096","34.22"
"171","171","8","4, 9, 4, 6, 10, 8, 9, 10","0.00890966646457791","66.319"
"172","172","1","8","0.00938172293631057","33.526"
"173","173","1","6","0.00982439507106525","33.492"
"174","174","8","3, 5, 9, 9, 5, 7, 10, 5","0.0110585196237875","66.937"
"175","175","1","8","0.0113891740448199","34.027"
"176","176","8","8, 10, 10, 10, 9, 7, 10, 7","0.00911678686650474","72.554"
"177","177","6","6, 10, 3, 9, 4, 10","0.00970115382664116","55.297"
"178","178","3","8, 5, 8","0.0100639613856949","42.825"
"179","179","10","2, 8, 6, 10, 4, 10, 7, 8, 9, 4","0.999566399984519","77.171"
"180","180","3","8, 10, 7","0.00697571218840831","45.24"
"181","181","9","7, 10, 10, 2, 8, 8, 8, 3, 4","0.00686619101898278","70.51"
"182","182","7","8, 7, 6, 5, 5, 8, 6","0.00762575128763698","58.423"
"183","183","5","7, 5, 4, 4, 2","0.00968746172062873","47.476"
"184","184","3","6, 10, 5","0.00660311743500663","42.633"
"185","185","3","1, 10, 6","0.139292683300365","41.467"
"186","186","3","5, 8, 5","0.00957308088556696","41.184"
"187","187","6","4, 7, 10, 9, 3, 8","0.0122142369089568","55.825"
"188","188","9","6, 10, 6, 6, 10, 10, 8, 10, 2","1.00057447059724","72.327"
"189","189","2","5, 5","0.00887396660919781","36.226"
"190","190","5","8, 9, 4, 4, 8","0.00883200480279278","49.987"
"191","191","10","3, 8, 10, 9, 6, 7, 6, 7, 9, 2","0.0105543545610395","72.921"
