g T L m
3 0 0.125 0
3 10 0.125 36.85
3 20 0.125 40.59
3 30 0.125 59.45
3 40 0.125 66.71
3 50 0.125 69.51
3 60 0.125 76.51
3 0 0.125 0
3 10 0.125 34.99
3 20 0.125 41.99
3 30 0.125 62.03
3 40 0.125 65.31
3 50 0.125 71.38
3 60 0.125 75.58
3 0 0.125 0
3 10 0.125 35.52
3 20 0.125 42.58
3 30 0.125 60.05
3 40 0.125 64.18
3 50 0.125 71.18
3 60 0.125 73.64
5 0 0.125 0
5 10 0.125 22.52165544
5 20 0.125 28.29643888
5 30 0.125 32.62752647
5 40 0.125 41.86717998
5 50 0.125 45.04331088
5 60 0.125 56.30413859
5 0 0.125 0
5 10 0.125 21.07795958
5 20 0.125 29.74013474
5 30 0.125 33.49374398
5 40 0.125 41.28970164
5 50 0.125 45.90952839
5 60 0.125 56.59287777
5 0 0.125 0
5 10 0.125 21.36669875
5 20 0.125 28.29643888
5 30 0.125 33.78248316
5 40 0.125 42.7333975
5 50 0.125 46.77574591
5 60 0.125 56.30413859
7 0 0.125 0
7 10 0.125 17.08185053
7 20 0.125 23.06049822
7 30 0.125 30.10676157
7 40 0.125 36.93950178
7 50 0.125 40.35587189
7 60 0.125 47.40213523
7 0 0.125 0
7 10 0.125 17.93594306
7 20 0.125 24.12811388
7 30 0.125 31.38790036
7 40 0.125 37.79359431
7 50 0.125 41.20996441
7 60 0.125 48.25622776
7 0 0.125 0
7 10 0.125 18.36298932
7 20 0.125 23.70106762
7 30 0.125 32.45551601
7 40 0.125 37.15302491
7 50 0.125 41.20996441
7 60 0.125 48.25622776
10 0 0.125 0
10 10 0.125 13.27697663
10 20 0.125 16.70810542
10 30 0.125 21.33267031
10 40 0.125 28.49328692
10 50 0.125 31.7752362
10 60 0.125 33.71456987
10 0 0.125 0
10 10 0.125 13.42615614
10 20 0.125 15.06713078
10 30 0.125 23.27200398
10 40 0.125 29.83590254
10 50 0.125 32.37195425
10 60 0.125 33.41621084
10 0 0.125 0
10 10 0.125 14.02287419
10 20 0.125 15.21631029
10 30 0.125 22.97364495
10 40 0.125 29.98508205
10 50 0.125 32.07359523
10 60 0.125 33.71456987
3 0 0.25 0
3 10 0.25 43.7704918
3 20 0.25 51.63934426
3 30 0.25 69.3442623
3 40 0.25 77.21311475
3 50 0.25 90
3 60 0.25 93.44262295
3 0 0.25 0
3 10 0.25 44.26229508
3 20 0.25 51.63934426
3 30 0.25 68.36065574
3 40 0.25 78.68852459
3 50 0.25 91.96721311
3 60 0.25 95.90163934
3 0 0.25 0
3 10 0.25 45.24590164
3 20 0.25 50.16393443
3 30 0.25 69.83606557
3 40 0.25 77.21311475
3 50 0.25 92.45901639
3 60 0.25 94.91803279
5 0 0.25 0
5 10 0.25 28.37022133
5 20 0.25 34.7082495
5 30 0.25 42.25352113
5 40 0.25 46.7806841
5 50 0.25 57.34406439
5 60 0.25 67.00201207
5 0 0.25 0
5 10 0.25 27.16297787
5 20 0.25 35.31187123
5 30 0.25 42.55533199
5 40 0.25 47.6861167
5 50 0.25 58.24949698
5 60 0.25 65.79476861
5 0 0.25 0
5 10 0.25 26.55935614
5 20 0.25 36.51911469
5 30 0.25 43.15895372
5 40 0.25 48.5915493
5 50 0.25 56.43863179
5 60 0.25 64.58752515
7 0 0.25 0
7 10 0.25 23.73004354
7 20 0.25 29.3904209
7 30 0.25 35.4862119
7 40 0.25 41.79970972
7 50 0.25 47.46008708
7 60 0.25 51.37880987
7 0 0.25 0
7 10 0.25 22.20609579
7 20 0.25 31.13207547
7 30 0.25 35.05079826
7 40 0.25 41.5820029
7 50 0.25 46.37155298
7 60 0.25 52.03193033
7 0 0.25 0
7 10 0.25 21.77068215
7 20 0.25 32.87373004
7 30 0.25 37.22786647
7 40 0.25 42.67053701
7 50 0.25 47.24238026
7 60 0.25 51.59651669
10 0 0.25 0
10 10 0.25 15.41200407
10 20 0.25 17.85350966
10 30 0.25 25.63580875
10 40 0.25 30.51881994
10 50 0.25 37.23296033
10 60 0.25 44.71007121
10 0 0.25 0
10 10 0.25 15.86978637
10 20 0.25 18.61648016
10 30 0.25 25.78840285
10 40 0.25 30.82400814
10 50 0.25 35.09664293
10 60 0.25 44.40488301
10 0 0.25 0
10 10 0.25 15.86978637
10 20 0.25 17.24313327
10 30 0.25 25.48321465
10 40 0.25 30.36622584
10 50 0.25 36.46998983
10 60 0.25 43.94710071
